"Station Name","Set No","BM Unit","Plant Type","Unit Effective Capacity (MW)","Commissioning Year","MVAr Lead","MVAr Lag","MVA Infeed",Node,"SYS Study Zone",Licensee,
"Immingham CHP stage 2",,,CCGT,227,2008,-114,148.1,828.9,HUMR40,Z8,NGET,
"Immingham CHP stage 2",,,CCGT,106,2008,-52.5,55.6,439,HUMR40,Z8,NGET,
"Indian Queens",1,T_INDQ-1,OCGT,140,1996,-54.9,115.9,656.3,INDQ40,Z17,NGET,
"Insch Wind",1,,Wind,10,2005,-1.5,1.5,63,KEIT80,Z2,SHETL,
Inverawe,1,,Hydro,25,,-2,-2,72,INAW3Q,Z3,SHETL,
Invergarry,1,CAS-GAR01,Hydro,20,,-1.6,-1.6,65,INGA1Q,Z1,SHETL,
Ironbridge,1,T_IRNPS-1,"Large Coal",482,1970,-165.2,208.5,1539.1,IRON40,Z11,NGET,
Ironbridge,2,T_IRNPS-2,"Large Coal",482,1970,-159.5,206.3,1522.7,IRON40,Z11,NGET,
Ironbridge,,,OCGT,,1967,,,,IRON40,Z11,NGET,
Ironbridge,,,OCGT,,1967,,,,IRON40,Z11,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-109.5,96.5,772.1,KEAD41,Z8,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-106.2,110.9,805.6,KEAD42,Z8,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-113.7,103.3,781.6,KEAD42,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
"Kilbraur Wind Farm Stage 1",1,,Wind,47.5,2007,-12.2,17.9,441,STRB8W,Z1,SHETL,
"Kilbraur Wind Farm Stage 2",1,,Wind,19.5,2009,-12.2,17.9,441,STRB8W,Z1,SHETL,665
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-69.7,66.9,584.6,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-68.1,68.7,593.8,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-73.6,79.6,658.2,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-69.5,67,587,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-69.5,67,573.5,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-73.6,79.6,658.2,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,638.2,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,637.6,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,628.6,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,231.2,1993,-106.7,104.7,773.1,KILL40,Z8,NGET,
Kilmorack,1,,Hydro,10,,-1.8,-1.8,93,KIOR1Q,Z1,SHETL,
Kilmorack,2,,Hydro,10,,0,0,39,KIOR80,Z1,SHETL,
"Kings Lynn",,,CCGT,340,1996,-172.8,128.9,1109.5,KINL1A,Z12,NGET,
"Kings Lynn",,,CCGT,,,,,,KLYP11,Z12,NGET,
"Kings Lynn",,,CCGT,,,,,,KLYP11,Z12,NGET,
Kingsnorth,1,T_KINO-1,"Dual Fuel",485,1970,-131.9,196,1845.4,KINO40,Z15,NGET,1966
Kingsnorth,2,T_KINO-2,"Dual Fuel",485,1971,-131.8,196.2,1848.1,KINO40,Z15,NGET,
Kingsnorth,3,T_KINO-3,"Dual Fuel",485,1972,-128.4,200.7,1897.1,KINO40,Z15,NGET,
Kingsnorth,4,T_KINO-4,"Dual Fuel",485,1973,-132.5,195.3,1837.9,KINO40,Z15,NGET,
Kingsnorth,,T_KINO1G,OCGT,13,1967,,,,KINO40,Z15,NGET,
Kingsnorth,,T_KINO4G,OCGT,13,1967,,,,KINO40,Z15,NGET,
Kinlochleven,1,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
Kinlochleven,2,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
Kinlochleven,3,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
"Lairg - Achany WF",1,,Wind,62,2009,-24.6,32.7,299.5,LAIR3W,Z1,SHETL,
"Langage stage 1",,,CCGT,452.5,2008,-196.7,178.5,1259,LANG40,Z17,NGET,905
"Langage stage 1",,,CCGT,452.5,2008,-196.7,178.5,1259,LANG40,Z17,NGET,
"Little Barford",,T_LBAR-1,CCGT,210,1994,-109.5,90.1,713.1,LITB40,Z12,NGET,
"Little Barford",,T_LBAR-1,CCGT,210,1994,-109.2,90.3,715.3,LITB40,Z12,NGET,
"Little Barford",,T_LBAR-1,CCGT,245,1994,-117.4,115.7,794.2,LITB40,Z12,NGET,
"Littlebrook D",1,T_LITTD1,Oil,685,1982,-261.2,264,1797,LITT40,Z14,NGET,1475
"Littlebrook D",2,T_LITTD2,Oil,685,1983,-260.8,264.5,1801.4,LITT40,Z14,NGET,
"Littlebrook D",3,T_LITTD3,Oil,0,1984,0,0,1799.4,LITT40,Z14,NGET,
"Littlebrook D",,T_LITTD1G,OCGT,35,1980,,,,LITT40,Z14,NGET,
"Littlebrook D",,T_LITTD2G,OCGT,35,1981,,,,LITT40,Z14,NGET,
"Littlebrook D",,T_LITTD3G,OCGT,35,1982,,,,LITT40,Z14,NGET,
Livishie,1,,Hydro,15,,0,0,96,LIVI80,Z1,SHETL,
Lochay,1,,Hydro,22.5,,-2,-2,71,LOCH10,Z4,SHETL,
Lochay,2,,Hydro,22.5,,-1.9,-1.9,71,LOCH10,Z4,SHETL,
Longannet,1,LOAN-1,"Large Coal",576,,-230,118,2313,LOAN20,Z5,SPT,2304
Longannet,3,LOAN-2,"Large Coal",576,,-228,120,2313,LOAN20,Z5,SPT,
Longannet,5,LOAN-3,"Large Coal",576,,-209.5,232.9,2321,LOAN20,Z5,SPT,
Longannet,7,LOAN-4,"Large Coal",576,,-210,232.2,2313,LOAN20,Z5,SPT,
Longpark,,,Wind,38,2009,-12.5,12.5,178,LOPA30,Z6,SPT,
Luichart,1,,Hydro,17,,-1.1,-1.1,72,LUIC1Q,Z1,SHETL,
Luichart,2,,Hydro,17,,-1.1,-1.1,72,LUIC1R,Z1,SHETL,
Lynemouth,1,,"Small Unit Coal",131,1971,-72,28,64.7,ALCA10,Z7,NGET,
Lynemouth,2,,"Small Unit Coal",131,1971,-72,28,64.7,ALCA10,Z7,NGET,
Lynemouth,3,,"Small Unit Coal",131,1971,-72,28,64.7,ALCA10,Z7,NGET,
"Lynes Common",,,OCGT,49.9,,,,,,Z16,NGET,
Marchwood,1,,CCGT,324,2008,-138.2,133.8,957.2,MAWO40,Z16,NGET,
Marchwood,2,,CCGT,,2008,,,,MAWO40,Z16,NGET,
Marchwood,3,,CCGT,324,2008,-138.2,133.8,957.2,MAWO40,Z16,NGET,
Marchwood,4,,CCGT,,2008,,,,MAWO40,Z16,NGET,
Marchwood,5,,CCGT,288,2008,-134.2,114.9,869.5,MAWO40,Z16,NGET,
Medway,,T_MEDP-1,CCGT,226.7,1995,-120.1,109.1,695.5,MEDW40,Z15,NGET,
Medway,,T_MEDP-1,CCGT,226.7,1995,-118.9,110.9,696.1,MEDW40,Z15,NGET,
Medway,,T_MEDP-1,CCGT,226.7,1995,-112.6,121.3,694,MEDW40,Z15,NGET,
"Millennium Wind (Ceannacroc) Stage 1",1,,Wind,40,2007,-13,13,185,MILW1Q,Z1,SHETL,
"Millennium Wind (Ceannacroc) Stage 2",1,,Wind,10,2008,-3.3,3.3,185,MILW1Q,Z1,SHETL,
"Millennium Wind (Ceannacroc) Stage 3",1,,Wind,15,2009,-4.9,4.9,185,MILW1Q,Z1,SHETL,
"Minsca Risp Hill",1,,Wind,38,2007,-1.6,-1.6,149.8,MINS80,Z6,SPT,
Mossford,,,Hydro,18.7,,,,,,Z1,SHETL,
"Nant Loch Nant Hydro",1,,Hydro,15,,-5.6,4,42,LOCN1Q,Z1,SHETL,
Novar,1,,Wind,19,,-1,-1,85,NOVA80,Z1,SHETL,
Oldbury,1,T_OLDS1,"Nuclear Magnox",228,1967,-118.1,153.7,1150,OLDS11,Z13,NGET,
Oldbury,2,T_OLDS2,"Nuclear Magnox",242,1968,-108.8,148.6,1154.6,OLDS12,Z13,NGET,
Orrin,1,,Hydro,18,,-1.6,-1.6,67,ORRI1R,Z1,SHETL,
"Paul's Hill Aberlour",1,,Wind,56,2005,-13,13,304,PAUH80,Z1,SHETL,
Peterborough,,,CCGT,,1993,-72.1,53.6,449.1,WALP11,Z12,NGET,
Peterborough,,,CCGT,,1993,-72.1,53.6,449.1,WALP13,Z12,NGET,
Peterborough,,,CCGT,405,1993,-82.2,66.9,449.1,WALP11,Z12,NGET,
Peterhead,1,,CCGT,660,,-134.6,291.8,1789,PEHE2S,Z2,SHETL,2359
Peterhead,2,,"Dual Fuel Oil/Gas",660,,-135,291.2,1786,PEHE2T,Z2,SHETL,
Peterhead,3,,OCGT,120.5,,-72.3,66.2,523,PEHE12,Z2,SHETL,
Peterhead,4,,OCGT,120.5,,-72.5,66,520,PEHE13,Z2,SHETL,
Peterhead,11,,CCGT,266,,-125.1,118,834,PEHE2U,Z2,SHETL,
Peterhead,12,,CCGT,266,,-125.1,118,834,PEHE2V,Z2,SHETL,
Peterhead,13,,CCGT,266,,-125.1,118,834,PEHE2W,Z2,SHETL,
Pitlochry,,,Hydro,15,,,,,,Z3,SHETL,
Quoich,1,,Hydro,18,,-1.1,4.7,75,QUOI10,Z1,SHETL,
Rannoch,1,,Hydro,14.7,,0,32.7,1024,RANN81,Z4,SHETL,
Rannoch,2,,Hydro,14.7,,0,10.9,114,RANN81,Z4,SHETL,
Rannoch,3,,Hydro,14.7,,0,10.9,114,RANN81,Z4,SHETL,
"Ratcliffe on Soar",1,T_RATS-1,"Large Coal",500,1968,-148.1,170,1599.9,RATS41,Z11,NGET,2021
"Ratcliffe on Soar",2,T_RATS-2,"Large Coal",500,1969,-129.3,193.2,1812.7,RATS41,Z11,NGET,
"Ratcliffe on Soar",3,T_RATS-3,"Large Coal",500,1969,-129.3,193.1,1811,RATS42,Z11,NGET,
"Ratcliffe on Soar",4,T_RATS-4,"Large Coal",500,1970,-79.5,177.6,1660,RATS42,Z11,NGET,
"Ratcliffe on Soar",,,OCGT,0,1966,,,,RATS41,Z11,NGET,
"Ratcliffe on Soar",,T_RATSGT-2,OCGT,10,1967,,,,RATS41,Z11,NGET,
"Ratcliffe on Soar",,,OCGT,0,1967,,,,RATS42,Z11,NGET,
"Ratcliffe on Soar",,T_RATGT-4,OCGT,11,1968,,,,RATS42,Z11,NGET,
Rocksavage,1,T_ROCK-1,CCGT,270,1997,-156.8,176.2,1427.2,ROCK40,Z9,NGET,
Rocksavage,2,T_ROCK-1,CCGT,270,1997,-156.8,176.2,1427.2,ROCK40,Z9,NGET,
Rocksavage,3,T_ROCK-1,CCGT,270,1997,-151,179,1427.2,ROCK40,Z9,NGET,
Roosecote,,,CCGT,169,1991,-75.9,77,696.3,ROOS10,Z9,NGET,
Roosecote,,,CCGT,60,1991,-25.9,34.6,242.5,ROOS10,Z9,NGET,
"Rothes Biopower Plant",,,Biomass,52,2008,,,251.6,ROBP3A,Z5,SPT,
"Rugeley B",6,T_RUGPS-6,"Large Coal",498,1972,-149.6,190.1,1633.3,RUGE40,Z11,NGET,
"Rugeley B",7,T_RUGPS-7,"Large Coal",498,1972,-148.6,191.3,1638.5,RUGE40,Z11,NGET,
"Rugeley B",,T_RUGGT-6,OCGT,22,1969,,,,RUGE40,Z11,NGET,
"Rugeley B",,T_RUGGT-7,OCGT,0,1969,,,,RUGE40,Z11,NGET,
"Rye House",,T_RYHPS-1,CCGT,178,1993,-68.2,66.1,505.1,RYEH40,Z14,NGET,
"Rye House",,T_RYHPS-1,CCGT,178,1993,-66.4,68.3,523.9,RYEH40,Z14,NGET,
"Rye House",,T_RYHPS-1,CCGT,178,1993,-68.3,66,504.1,RYEH40,Z14,NGET,
"Rye House",,T_RYHPS-1,CCGT,295,1993,-121.1,78.6,822.9,RYEH40,Z14,NGET,
Saltend,,T_SCCL-1,CCGT,367,1999,-197.8,173.9,1209.5,SAES20,Z8,NGET,
Saltend,,T_SCCL-2,CCGT,367,1999,-197.8,173.9,1209.5,SAES20,Z8,NGET,
Saltend,,T_SCCL-3,CCGT,367,1999,-197.8,173.9,1209.5,SAES20,Z8,NGET,
Scunthorpe,1,,CCGT,98,2007,-40,51,697.3,BRIG10,Z8,NGET,
Scunthorpe,2,,CCGT,98,2007,-40,51,689.7,BRIG10,Z8,NGET,
Scunthorpe,3,,CCGT,98,2007,-42.6,47.7,525.6,BRIG10,Z8,NGET,
Seabank,,T_SEAB-1,CCGT,273.3,1998,-130.7,95.5,1080.8,SEAB40,Z13,NGET,
Seabank,,T_SEAB-1,CCGT,273.3,1998,-130.7,95.5,1080.8,SEAB40,Z13,NGET,
Seabank,,T_SEAB-2,CCGT,414,2000,-210.1,136.8,1345.4,SEAB40,Z13,NGET,
Seabank,,T_SEAB-1,CCGT,273.3,1998,-122,110.2,1080.8,SEAB40,Z13,NGET,
"Sellafield CHP",,,CCGT,37,1993,-18.9,22.7,170.3,SEFI10,Z9,NGET,
"Sellafield CHP",,,CCGT,37,1993,-20,19.2,189.1,SEFI10,Z9,NGET,
"Sellafield CHP",,,CCGT,37,1993,-20,19.2,170.4,SEFI10,Z9,NGET,
"Sellafield CHP",,,CCGT,44,1993,-21.2,28.2,240.4,SEFI10,Z9,NGET,
"Severn Power Stage 1",,,CCGT,425,2009,-208.1,193.3,1087,USKM20,Z13,NGET,
Shin,,,Hydro,18.6,,,,,,Z1,SHETL,
Shoreham,,,CCGT,420,2000,-225.5,219.1,1072.3,SERX10,Z16,NGET,
Shotton,,,CCGT,70,2001,-54.5,53.3,297.3,SHOT10,Z9,NGET,
Shotton,,,CCGT,70,2001,-54.4,54.2,296.6,SHOT10,Z9,NGET,
Shotton,,,CCGT,70,2001,-52.6,56.7,295.7,SHOT10,Z9,NGET,
"Sizewell B",3,T_SIZB-1,"Nuclear PWR",600,1994,-289.2,287.3,2140.8,SIZE40,Z12,NGET,
"Sizewell B",4,T_SIZB-2,"Nuclear PWR",600,1994,-281.8,286.2,2133.9,SIZE40,Z12,NGET,
Sloy,1,SLOY-1,Hydro,33,,-11.8,8.9,101,SLOY13,Z3,SHETL,
Sloy,2,SLOY-2,Hydro,40,,-11.8,8.9,102,SLOY14,Z3,SHETL,
Sloy,3,SLOY-3,Hydro,40,,-11.4,9.3,101,SLOY15,Z3,SHETL,
Sloy,4,SLOY-4,Hydro,40,,-11.6,15.6,100,SLOY16,Z3,SHETL,
"South Humber Bank",,T_SHBA-1,CCGT,169,1996,-76,76.9,636.9,SHBA40,Z8,NGET,1285
"South Humber Bank",,T_SHBA-1,CCGT,169,1996,-80.4,70.8,636,SHBA40,Z8,NGET,
"South Humber Bank",,T_SHBA-1,CCGT,169,1996,-81.3,69.2,637.5,SHBA40,Z8,NGET,
"South Humber Bank",,T_SHBA-1,CCGT,262,1996,-126.8,119.5,752.4,SHBA40,Z8,NGET,
"South Humber Bank",,T_SHBA-2,CCGT,174,1998,-79.2,68.1,658.2,SHBA40,Z8,NGET,
"South Humber Bank",,T_SHBA-2,CCGT,174,1998,-79.3,68,657.3,SHBA40,Z8,NGET,
"South Humber Bank",,T_SHBA-2,CCGT,168,1998,-77.8,80.7,625.6,SHBA40,Z8,NGET,
Spalding,,T_SPLN-1,CCGT,252,2004,-186.5,141.4,843.9,SPLN40,Z10,NGET,
Spalding,,T_SPLN-1,CCGT,252,2004,-185,146.5,843.9,SPLN40,Z10,NGET,
Spalding,,T_SPLN-1,CCGT,366,2004,-242.3,231.7,904.5,SPLN40,Z10,NGET,
"St Fillians",1,,Hydro,17,,-2,7.7,71,SFIL1Q,Z4,SHETL,
"Staythorpe C stage 1",,,CCGT,425,2009,-215.4,303.4,1143.5,STAY41,Z10,NGET,
"Staythorpe C stage 2",,,CCGT,425,2009,-215.4,303.4,1143.5,STAY41,Z10,NGET,
"Staythorpe C stage 3",,,CCGT,425,2009,-215.4,303.4,1143.5,STAY42,Z10,NGET,
"Staythorpe C stage 4",,,CCGT,425,2009,-215.4,303.4,1143.5,STAY42,Z10,NGET,
"Steven's Croft",1,,Biomass,45,2006,-14.2,12.4,175.2,STCR80,Z6,SPT,
"Stoneywood Mills",1,,CHP,12,,0,0,,STOM30,Z2,SHETL,
"Sutton Bridge",1,T_SUTB-1,CCGT,266.7,1998,-131.1,94.9,886.8,SUTB4A,Z12,NGET,
"Sutton Bridge",2,T_SUTB-1,CCGT,266.7,1998,-131.1,94.9,886.8,SUTB4A,Z12,NGET,
"Sutton Bridge",3,T_SUTB-1,CCGT,266.6,1998,-122.6,119.7,886.8,SUTB4A,Z12,NGET,
Tangy,1,,Wind,13,2002,-3,-3,96,TANG80,Z3,SHETL,
"Taylors Lane",2,E_TAYL2G,OCGT,72,1981,-28.9,29.6,317.5,WISD10,Z14,NGET,
"Taylors Lane",3,E_TAYL3G,OCGT,72,1979,-29.9,27.9,325,WISD10,Z14,NGET,
Teesside,,T_TESI-1,CCGT,153.5,1992,-74.8,42.3,556.6,GRST21,Z7,NGET,2028.5
Teesside,,T_TESI-1,CCGT,153.5,1992,-74.9,42.1,556.6,GRST21,Z7,NGET,
Teesside,,T_TESI-1,CCGT,153.5,1992,-74.9,42.1,556.6,GRST21,Z7,NGET,
Teesside,,T_TESI-1,CCGT,153.5,1992,-75.1,41.9,556.6,GRST21,Z7,NGET,
Teesside,,T_TESI-1,CCGT,153.5,1992,-166.1,129.4,1197.8,GRST21,Z7,NGET,
Teesside,,T_TESI-2,CCGT,153.5,1992,-74.8,42.3,556.6,GRST22,Z7,NGET,
Teesside,,T_TESI-2,CCGT,153.5,1992,-75.1,41.9,556.6,GRST22,Z7,NGET,
Teesside,,T_TESI-2,CCGT,153.5,1992,-74.8,42.3,556.6,GRST22,Z7,NGET,
Teesside,,T_TESI-2,CCGT,153.5,1992,-74.9,42.1,556.6,GRST22,Z7,NGET,
Teesside,,T_TESI-2,CCGT,323.5,1992,-166.6,128.7,1197.8,GRST22,Z7,NGET,
Teesside,,T_TESI-2,CCGT,323.5,1992,-166.6,128.7,1197.8,GRST22,Z7,NGET,
"Thanet Offshore Windfarm",,,"Offshore Wind",300,2009,-98.6,98.6,,CANT11/2,Z15,NGET,
"Tilbury B",7,T_TILB-7,"Medium Coal",0,1968,0,0,1295.8,TILB21,Z15,NGET,1130
"Tilbury B",8,T_TILB-8,"Medium Coal",368,1972,-114.9,108.3,1300.7,TILB21,Z15,NGET,
"Tilbury B",9,T_TILB-9,"Medium Coal",368,1972,-113.5,110,1320.6,TILB22,Z15,NGET,
"Tilbury B",10,T_TILB-10,"Medium Coal",368,1970,-111.3,120.8,1262,TILB22,Z15,NGET,
"Tilbury B",,T_TILB-10G,OCGT,0,1965,,,,TILB22,Z15,NGET,
"Tilbury B",,T_TILB-7G,OCGT,0,1965,,,,TILB21,Z15,NGET,
"Tilbury B",,T_TILB-8G,OCGT,13,1965,,,,TILB21,Z15,NGET,
"Tilbury B",,T_TILB-9G,OCGT,13,1965,,,,TILB22,Z15,NGET,
Toddleburn,1,,Wind,36,2009,-14,15,175.8,TODD80,Z6,SPT,
Tongland,1,,Hydro,11,,,,,TONG80,Z6,SPT,
Tongland,2,,Hydro,11,,,,,TONG80,Z6,SPT,
Tongland,3,,Hydro,11,,,,,TONG80,Z6,SPT,
Tormywheel,,,Wind,32,2009,-10.5,10.5,152,TORM3A/3B,Z6,SPT,
Torness,1,TORN-1,"Nuclear AGR",600,,-272.5,296.9,1769.2,TORN40,Z6,SPT,
Torness,2,TORN-2,"Nuclear AGR",600,,-272.5,296.9,1769.2,TORN40,Z6,SPT,
"Torr Achilty",,,Hydro,15,,,,,,Z1,SHETL,
"Tullo Wind Laurencekirk",1,,Wind,14,2009,-4.6,4.6,75,BRID30,Z1,SHETL,
"Tummel Bridge",1,,Hydro,17,,0,0,475,TUMB81,Z4,SHETL,
"Tummel Bridge",2,,Hydro,17,,0,0,119,TUMB81,Z4,SHETL,
Uskmouth,1,T_USKM-13,"Small Unit Coal",121,2000,-66.8,54,513.8,USKM10,Z13,NGET,
Uskmouth,2,T_USKM-14,"Small Unit Coal",121,2000,-66.8,54,513.8,USKM10,Z13,NGET,
Uskmouth,3,T_USKM-15,"Small Unit Coal",121,2000,-66.8,54,513.8,USKM10,Z13,NGET,
"West Burton",1,T_WBUPS-1,"Large Coal",483,1967,-176.1,202,1537.9,WBUR40,Z10,NGET,2422
"West Burton",2,T_WBUPS-2,"Large Coal",503,1967,-178.8,166.1,1533,WBUR40,Z10,NGET,
"West Burton",3,T_WBUPS-3,"Large Coal",503,1967,-179.1,165.8,1530.5,WBUR40,Z10,NGET,
"West Burton",4,T_WBUPS-4,"Large Coal",483,1968,-176.6,201.4,1533.4,WBUR40,Z10,NGET,
"West Burton",,T_WBUGT-1,OCGT,7.5,1966,,,,WBUR40,Z10,NGET,
"West Burton",,,OCGT,,1966,,,,WBUR40,Z10,NGET,
"West Burton",,,OCGT,,1967,,,,WBUR40,Z10,NGET,
"West Burton",,T_WBUGT-1,OCGT,7.5,1968,,,,WBUR40,Z10,NGET,
"West Burton B Stage 1",,,CCGT,435,2009,-226,184.1,1141.6,WBUR40,Z10,NGET,
Whitelee,1,,Wind,75.9,2007,-36.9,39.2,482.8,WHIL8A,Z6,SPT,323
Whitelee,2,,Wind,218.5,2008,-36.9,39.2,482.8,WHIL8B,Z6,SPT,
Whitelee,3,,Wind,28.6,2009,-36.9,39.2,482.8,WHIL8C,Z6,SPT,
Wilton,,,CCGT,38,2006,,,,WILT2,Z7,NGET,
Wilton,,,CCGT,12,2007,,,,WILT2,Z7,NGET,
Wylfa,1,WYLF-1,"Nuclear Magnox",245,1971,-117.2,137.3,1025.4,WYLF40,Z9,NGET,
Wylfa,2,WYLF-2,"Nuclear Magnox",245,1971,-115.9,133.8,997.7,WYLF40,Z9,NGET,
Wylfa,3,WYLF-3,"Nuclear Magnox",245,1971,-114.8,132.8,1025.4,WYLF40,Z9,NGET,
Wylfa,4,WYLF-4,"Nuclear Magnox",245,1971,-110.7,135.6,1039.2,WYLF40,Z9,NGET,
