Table D-5 Dispatch Profiles - Demand Opportunity Analyses,,,,,,,,,,,,,,
Area,Generation Station,Unit ID,2007,,,2008,,,2010,,,2013,,
,,,SP,SV,WP,SP,SV,WP,SP,SV,WP,SP,SV,WP
Dublin,Dublin Bay Power,DB1,403,170,403,403,160,403,403,160,403,403,160,403
,Huntstown ,HNC,343,223,343,321,0,343,321,0,343,324,0,343
,Huntstown ,HN2,380,257,400,380,257,400,380,257,400,380,257,400
,North Wall,NW4,0,0,115,0,0,148,0,0,148,60,0,163
,North Wall,NW5,0,0,0,0,0,0,0,0,0,0,0,65
,Poolbeg,PB1,0,0,96,0,0,96,0,0,96,96,0,110
,Poolbeg,PB2,101,0,101,0,0,101,0,0,101,101,0,110
,Poolbeg,PB3,0,0,0,0,0,0,0,0,0,0,0,242
,Poolbeg ,PBC,266,0,456,198,0,454,334,0,406,396,0,460
,Turlough Hill,"TH1,2,3,4",133,-150,128,111,-228,113,94,-234,114,96,-149,114
,Embedded Hydro,-,0,0,4,0,0,4,0,0,4,0,0,4
Dublin Area Total,,,1626,500,2046,1412,189,2062,1532,183,2015,1856,269,2414
South-West,Aghada,AD1,236,38,236,124,38,236,0,0,236,0,0,258
,Aghada,AT1,0,0,0,0,0,0,0,0,0,0,0,90
,Aghada,AT2,0,0,0,0,0,0,0,0,0,0,0,90
,Aghada,AT4,0,0,0,0,0,0,0,0,0,0,0,90
,Aghada PCP,AP5,0,0,0,0,0,0,0,0,0,0,0,0
,WhiteGen,-,0,0,0,0,0,0,426,223,445,445,223,445
,Aghada CCGT,-,0,0,0,0,0,0,405,0,425,425,213,425
,Athea,-,-,-,-,18,18,18,18,18,18,18,18,26
,Lee Hydro,"LE1,2",0,0,19,5,0,19,5,0,19,5,0,19
,Lee Hydro,LE3,0,0,8,3,0,8,3,0,8,3,0,8
,Marina,MRT,93,0,93,93,0,93,0,0,93,0,0,112
,Aughinish,SK3,0,80,77,77,80,80,77,80,77,77,80,80
,Aughinish,SK4,0,80,77,77,80,80,77,80,77,77,80,80
,Coomagearlahy,CGW,15,15,15,15,15,15,15,15,15,15,15,21
,Glanlee,-,10,10,10,10,10,10,10,10,10,10,10,15
,Coomacheo,-,-,-,14,14,14,14,14,14,14,14,14,21
,Moneypoint,MP2,281,154,281,281,150,281,281,142,281,281,203,281
,Moneypoint,-,0,0,0,8,8,8,8,8,8,8,8,11
,Pallas,-,0,0,0,0,0,0,13,13,13,13,13,19
,Tarbert,TB1,0,0,51,0,0,51,-,-,-,-,-,-
,Tarbert,TB2,0,0,51,0,0,51,-,-,-,-,-,-
,Tarbert,TB3,227,0,227,227,0,227,-,-,-,-,-,-
,Tarbert,TB4,0,0,227,0,0,227,-,-,-,-,-,-
,Embedded Wind,-,46,46,70,79,79,79,86,86,86,86,86,123
South-West Area Total,,,909,425,1456,1031,493,1498,1438,689,1825,1477,963,2214
Mid-West,Ardnacrusha,"AA1,2,3,4",0,0,86,20,0,86,20,0,86,20,0,86
,Booltiagh,BOL,7,7,7,7,7,7,7,7,7,7,7,10
,Derrybrien,DYN,21,21,21,21,21,21,21,21,21,21,21,30
,Moneypoint,MP1,281,154,281,281,149,281,281,135,281,281,205,281
,Moneypoint,MP3,281,154,281,281,149,281,281,135,281,281,205,281
,Tynagh,TY,335,0,382,367,0,382,359,0,382,365,262,382
,Embedded Wind,-,10,10,12,12,12,12,12,12,12,12,12,17
Mid-West Area Total,,,935,345,1071,990,339,1071,982,311,1071,988,713,1088
South-East,Ballywater,BWW,11,11,11,11,11,11,11,11,11,11,11,16
,Great Island,GI1,0,0,51,0,0,51,0,0,51,0,0,54
,Great Island,GI2,0,0,51,0,0,51,0,0,51,0,0,54
,Great Island,GI3,0,0,94,0,0,94,0,0,94,62,0,108
,Liffey Hydro ,"LI1,2,4",0,0,34,5,0,34,5,0,34,5,0,34
,Embedded  Wind,-,27,27,27,27,27,27,34,34,34,34,34,49
South-East Area Total,,,38,38,269,43,38,269,50,45,276,112,45,315
Midlands,Edenderry Power ,ED1,118,118,118,118,118,118,118,118,118,118,118,118
,West Offaly Power,WO4,137,137,137,137,137,137,137,137,137,137,137,137
,Rhode PCP,RP1,0,0,0,0,0,0,0,0,0,0,0,0
,Rhode PCP,RP2,0,0,0,0,0,0,0,0,0,0,0,0
,Embedded  Wind,-,4,4,4,4,4,4,4,4,4,4,4,6
Midlands Area Total,,,259,259,259,259,259,259,259,259,259,259,259,261
North-West,Erne,"ER3,4",0,0,45,10,0,45,10,0,45,10,0,45
,Erne,"ER1,2",0,0,20,5,0,20,5,0,20,5,0,20
,Golagh,GOL,5,5,5,5,5,5,5,5,5,5,5,8
,Kingsmountain ,KGM,8,8,8,8,8,8,8,8,8,8,8,12
,Lough Ree    Power,LR4,91,91,91,91,91,91,91,91,91,91,91,91
,Meentycat,MCT,25,25,25,25,25,25,30,30,30,30,30,42
,Tawnaghmore PCP ,TP1,0,0,0,0,0,0,0,0,0,0,0,0
,Embedded  Wind,-,66,66,74,84,84,84,84,84,84,84,84,120
North-West Area Total,,,195,195,268,228,213,278,233,218,283,233,218,338
North-East,NI Import,-,0,0,-410,134,291,-294,-68,267,-166,467,228,11
,Mountain   Lodge,MLW,0,0,0,9,9,9,9,9,9,9,9,12
,Ratrussan,RRW,25,25,25,25,25,25,25,25,25,25,25,35
,Embedded  Wind,-,11,11,11,11,11,11,11,11,11,11,11,15
North-East Area Total,,,35,35,-375,178,335,-250,-24,311,-122,511,272,74
East-West Interconnector Import,,,-,-,-,-,-,-,-,-,-,-500,-500,-500
Total,,,3999,1798,4995,4142,1867,5187,4471,2017,5607,4937,2239,6203
