Table C-3 Demand Forecasts at Time of Summer Valley,,,,,,,,,
Bus,Bus Name,Power,Demand Forecast (MW),,,,,,
Code,,Factor,2007,2008,2009,2010,2011,2012,2013
AA,Ardnacrusha,0.95,28.3,22.7,21.6,26.5,27.7,28.7,29.8
AD,Aghada,0.95,0.8,0.9,0.9,0.9,1,1,1.1
AHA,Ahane,0.99,0.9,1,1,1.1,1.1,1.1,1.2
ANR,Anner,0.94,11,11,11,11,11,11,11
ARI,Arigna,0.94,1.2,1.2,1.2,1.3,1.4,1.4,1.5
ARK,Arklow,1,19.3,16.8,17.4,18.2,19,19.8,20.5
ATH,Athlone,0.95,20.8,21.6,22.3,23.4,24.4,25.3,26.2
ATY,Athy,0.95,-,6.7,6.9,7.2,7.5,7.8,8.1
BAL,Baltrasna,0.96,7.2,7.3,7.5,7.8,8,8.3,8.5
BAN,Bandon,0.99,14.6,15.1,15.6,16.4,17.1,17.7,18.4
BAR,Barrymore,0.95,9.2,9.5,9.8,10.3,10.7,11.2,11.5
BCM,Ballycummin,0.96,-,-,-,6.1,6.2,6.4,6.5
BDA,Baroda,0.96,-,2,2,2,2,2,2
BDM,Ballyadam,0.98,-,19.6,19.6,19.6,19.6,19.6,19.6
BDN,Ballydine,0.93,5.5,5.6,5.7,5.9,6,6.2,6.3
BEG,Ballybeg,0.91,0.9,1,1,1.1,1.1,1.1,1.2
BIN,Binbane,0.96,7.7,8,8.3,8.7,5,5.2,5.4
BK,Bellacorick,0.91,1.2,1.2,1.2,1.3,1.3,1.4,1.4
BLI,Ballylickey,0.92,4.1,4.2,4.4,4.6,4.8,4.9,5.1
BLK,Blake,0.7,9.1,9.4,9.7,10.2,10.6,11,11.4
BOG,Banoge,0.95,-,5.6,5.8,6.1,6.3,6.6,6.8
BRI,Brinny,0.95,4.2,4.2,4.2,4.2,4.2,4.2,4.2
BRY,Barnahely,0.95,29.3,30.3,31.3,32.8,34.2,35.5,36.8
BUN,Bunbeg,0.95,-,-,-,-,6,6.2,6.4
BUT,Butlerstown,0.98,19.8,20.5,21.2,22.2,23.2,24.1,24.9
CAH,Cahir,0.96,9.8,10.1,10.4,10.8,11.2,11.6,12
CAM,Camus,0.98,-,-,-,1.9,2,2.1,2.2
CBR,Castlebar,0.97,22.1,22.8,23.6,24.7,25.8,26.8,27.8
CF,Cathaleen’s Fall,0.98,6,6.2,6.4,6.7,7,7.3,7.5
CFM,Castlefarm,0.95,44,44,44,44,44,44,44
CHA,Charleville,0.73,3.5,3.7,14.4,4,4.1,4.3,4.5
CLD,Charlesland,0.95,-,-,7.9,7.9,7.9,7.9,7.9
CLN,Cloon,0.95,10.8,11.1,11.5,12.1,12.6,13.1,13.5
CLW,Carlow,0.99,17.3,13.9,3.3,15.1,15.7,16.4,16.9
COL,College Park,0.93,3.1,3.2,7.1,3.5,3.7,3.8,3.9
COS,Carrick-on-Shannon,0.97,14.7,15.2,15.7,16.5,17.2,17.9,18.5
COW,Cow Cross,0.95,3.1,3.2,3.3,3.4,3.6,3.7,3.9
CRA,Crane,0.95,11,8.9,9.2,9.6,10,10.4,10.8
CRO,Coolroe,0.97,7.9,8.2,8.5,8.9,9.3,9.6,10
CVW,Castleview,0.95,9.3,9.6,11.7,10.4,10.9,11.3,11.7
DAL,Dallow,0.89,3,3.1,3.2,3.3,3.5,3.6,3.7
DDK,Dundalk,0.97,21.6,22.3,23.1,24.2,25.2,26.2,27.1
DFR,Dunfirth,0.95,2,2,2.1,2.2,2.3,2.4,2.5
DGN,Dungarvan,0.98,10.6,11,11.3,11.9,12.4,12.9,13.4
DLT,Dalton,0.91,7.6,7.9,8.1,8.5,8.9,9.3,9.6
DMY,Dunmanway,0.99,12.2,12.6,13.1,13.7,14.3,14.8,15.4
DOO,Doon,0.99,11.2,11.5,11.9,12.5,13,13.6,14
DRU,Drumline,0.98,10.5,10.8,11.2,11.7,12.2,12.7,13.1
DRY,Drybridge,0.99,24.8,25.7,26.5,27.8,29,30.2,31.2
ENN,Ennis,0.98,17.4,18,18.6,19.5,20.4,21.2,21.9
FAS,Fassaroe,0.93,16.1,16.6,17.2,18,18.8,19.5,20.2
GAL,Galway,0.98,68.5,70.9,73.2,74.9,78.1,81.2,84
GCA,Grange Castle,1,17.4,18,18.6,19.5,20.4,21.2,21.9
GI,Great Island,0.93,5.2,5.4,5.6,5.8,6.1,6.3,6.6
GIL,Gilra,0.95,11.9,11.9,11.9,11.9,11.9,11.9,11.9
GLA,Glasmore,0.97,16,11.9,12.3,12.9,13.5,14,14.5
GLE,Glenlara,0.95,4.6,4.7,4.9,5.1,5.3,5.5,5.7
GRA,Grange,0.95,24.3,25.1,26,27.2,28.4,29.5,30.5
GRI,Griffinrath,0.93,24.9,25.8,26.6,27.9,29.1,30.3,31.3
GWE,Gortawee,0.95,17,20.6,20.7,20.9,21,21.2,21.3
HTS,Hartnett’s Cross,0.99,-,3.2,3.3,3.4,3.6,3.7,3.9
IKE,Ikerrin,0.9,7,7.2,7.5,7.8,8.2,8.5,8.8
KBY,Kilbarry,1,26.7,27.6,28.5,29.9,31.2,32.4,33.5
KER,Knockearagh,0.97,14.9,15.4,15.9,16.7,17.4,18.1,18.8
KIN,Kinnegad,0.95,4,4,4,4,4,4,4
KKY,Kilkenny,0.97,22.4,23.2,23.9,25.1,26.2,27.2,28.2
KLM,Kilmore,0.95,5.3,5.4,11,11.8,12,12.1,12.3
KMY,Kilmurry,0.95,-,-,-,-,7.6,7.9,8.2
KTL,Kilteel,0.92,12.5,12.9,16.2,16.9,17.7,18.4,19
KTN,Killoteran,0.96,1.7,1.7,1.8,1.9,2,2,2.1
KUR,Knockumber,0.95,24.2,24.2,24.2,24.2,24.2,24.2,24.2
LA,Lanesboro,0.94,5.2,5.4,5.6,5.8,6.1,6.3,6.6
LET,Letterkenny,0.96,16.4,16.9,17.5,18.4,17.2,17.9,18.5
LIB,Liberty Street,0.95,6,6.2,6.4,6.7,7,7.3,7.5
LIM,Limerick,0.97,37,34.7,37.7,31.6,33,34.3,35.5
LIS,Lisdrum,0.98,9.5,9.8,10.1,10.6,11.1,11.5,11.9
LSN,Lisheen,0.95,14,14,14,14,14,14,14
MAC,Macroom,0.4,3.6,0.6,0.6,0.6,0.6,0.7,0.7
MAL,Mallow,0.97,6.5,6.7,6.9,7.3,7.6,7.9,8.1
MCE,Macetown,0.96,22.3,22.9,23.5,24.4,25.2,26,26.7
MID,Midleton,0.96,13.7,14.1,14.6,15.3,16,16.6,17.2
MLN,Mullagharlin,0.94,2,2,2,2,2,2,2
MON,Monread,0.95,0.8,0.8,0.9,0.9,0.9,1,1
MOY,Moy,0.98,10.1,10.5,10.8,11.3,11.8,12.3,12.7
MR,Marina,0.95,7.2,7.4,7.7,8,8.4,8.7,9
MTH,Meath Hill,0.89,14.6,15.1,15.6,16.3,17,17.7,18.3
MUL,Mullingar,0.98,12,12.4,12.8,13.4,14,14.6,15.1
MUN,Mungret,0.95,15,15,15,15,15,15,15
NAN,Nangor,0.95,11,11,11,11,11,11,11
NAV,Navan,0.84,18.2,18.9,19.5,20.4,21.3,22.2,22.9
NEN,Nenagh,0.95,-,10.1,10.5,11,11.5,11.9,12.3
NEW,Newbridge,0.91,15,15.5,13.2,13.9,14.5,15,15.6
OLD,Oldcourt,0.94,0.3,0.3,0.3,0.3,0.3,0.3,0.3
OUG,Oughtragh,0.98,16.2,16.7,17.3,18.1,18.9,19.6,20.3
PLA,Platin,0.95,21,21,21,21,21,21,21
PLS,Portlaoise,1,10.6,8.2,8.5,8.9,9.3,9.7,10
RAT,Rathkeale,0.98,9.3,9.6,9.9,10.4,10.9,11.3,11.7
RIC,Richmond,0.98,8,8.2,8.5,8.9,9.3,9.7,10
RNW,Rinawade,0.95,7.6,7.6,7.6,7.6,7.6,7.6,7.6
RSY,Ringaskiddy,0.95,0.7,0.8,0.8,0.8,0.9,0.9,0.9
RYB,Ryebrook,0.95,65,65,65,65,65,65,65
SHE,Shelton Abbey,0.88,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SKL,Shankill,0.94,20.1,17.2,17.8,18.6,19.4,20.2,20.9
SLI,Sligo,0.98,18.6,19.2,19.8,20.8,21.7,22.5,23.3
SOM,Somerset,0.96,9.9,10.3,10.6,11.1,11.6,12.1,12.5
STR,Stratford,1,5.7,5.9,6.1,6.4,6.7,7,7.2
SVN,Stevenstown,0.95,-,4.6,4.8,5,5.2,5.4,5.6
TBG,Trabeg,0.95,21.9,22.6,23.3,24.5,25.5,26.5,27.5
TBK,Tullabrack,0.91,7.5,7.8,8,8.4,8.8,9.2,9.5
THU,Thurles,0.98,12.4,12.8,13.3,13.9,14.5,15.1,15.6
TIP,Tipperary,0.83,6.2,6.4,6.6,6.9,7.2,7.5,7.7
TLK,Trillick,0.95,5.4,5.5,5.7,6,6.3,6.5,6.7
TON,Tonroe,0.91,6.2,6.4,6.6,7,7.3,7.6,7.8
TRI,Trien,0.94,14.2,14.6,15.1,15.9,16.6,17.2,17.8
TRL,Tralee,0.98,14.4,14.9,15.4,16.1,16.8,17.5,18.1
TSB,Thornsberry,0.96,9.2,9.5,9.8,10.3,10.7,11.2,11.5
WAT,Waterford,0.97,20.8,21.6,22.3,23.4,16.7,17.4,18
WEX,Wexford,0.97,18.6,19.2,19.9,20.8,21.7,22.6,23.4
WHI,Whitegate,0.95,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CKM,Carrickmines,0.98,82.6,85.5,88.3,92.6,96.6,100.4,103.9
FIN,Finglas,0.98,124.8,129.1,140.3,146.8,152.9,158.6,163.9
INC,Inchicore,0.97,84.5,87.4,78.6,94.7,98.8,102.6,106.2
PB,Poolbeg,0.95,101.8,105,108.2,113,117.5,121.7,125.7
TOTAL,,,1770,1842,1907,1993,2066,2134,2198
