Table D-4 Dispatch Profiles - Generation Opportunity Analyses,,,,,,,,,,,,,,
Area,Generation Station,Unit ID,2007,,,2008,,,2010,,,2013,,
,,,SP,SV,WP,SP,SV,WP,SP,SV,WP,SP,SV,WP
Dublin,Dublin Bay Power,DB1,415,160,415,415,160,415,415,160,415,402,160,415
,Huntstown ,HNC,330,223,352,330,0,352,330,0,352,330,0,352
,Huntstown ,HN2,404,257,412,392,257,412,392,257,412,392,257,412
,North Wall,NW4,0,0,103,0,0,148,0,0,148,0,0,148
,North Wall,NW5,0,0,0,0,0,0,0,0,0,0,0,0
,Poolbeg,PB1,0,0,96,0,0,96,0,0,96,0,0,96
,Poolbeg,PB2,101,0,101,0,0,101,0,0,101,0,0,101
,Poolbeg,PB3,0,0,0,0,0,0,0,0,0,0,0,0
,Poolbeg ,PBC,260,0,450,143,0,447,244,0,406,296,0,435
,Turlough Hill,"TH1,2,3,4",138,-149,131,110,-228,118,96,-235,105,86,-240,98
,Embedded Hydro,-,0,0,4,0,0,4,0,0,4,0,0,4
Dublin Area Total,,,1647,491,2064,1389,189,2093,1477,182,2040,1506,177,2061
South-West,Aghada,AD1,193,38,164,165,38,236,0,0,236,0,0,236
,Aghada,AT1,0,0,0,0,0,0,0,0,0,0,0,43
,Aghada,AT2,0,0,0,0,0,0,0,0,0,0,0,20
,Aghada,AT4,0,0,0,0,0,0,0,0,0,0,0,70
,Aghada PCP,AP5,0,0,0,0,0,0,0,0,0,0,0,0
,WhiteGen,-,0,0,0,0,0,0,426,223,445,420,223,445
,Aghada CCGT,-,0,0,0,0,0,0,405,0,425,405,0,425
,Athea,-,-,-,-,18,18,18,18,18,18,18,18,18
,Lee Hydro,"LE1,2",0,0,19,5,0,19,5,0,19,5,0,19
,Lee Hydro,LE3,0,0,8,3,0,8,3,0,8,3,0,8
,Marina,MRT,93,0,93,93,0,98,0,0,93,0,0,93
,Aughinish,SK3,0,85,81,81,85,85,81,78,81,81,85,81
,Aughinish,SK4,0,85,81,81,85,81,81,78,81,81,85,81
,Coomagearlahy,CGW,15,15,15,15,15,15,15,15,15,15,15,15
,Glanlee,-,10,10,10,10,10,10,10,10,10,10,10,10
,Coomacheo,-,-,-,14,14,14,14,14,14,14,14,14,14
,Moneypoint,MP2,287,151,287,287,140,287,287,135,287,287,144,287
,Moneypoint,-,0,0,0,8,8,8,8,8,8,8,8,8
,Pallas,-,0,0,0,0,0,0,13,13,13,13,13,13
,Tarbert,TB1,0,0,51,0,0,48,0,0,0,0,0,0
,Tarbert,TB2,0,0,51,0,0,48,0,0,0,0,0,0
,Tarbert,TB3,227,0,227,225,0,227,0,0,0,0,0,0
,Tarbert,TB4,0,0,227,0,0,227,0,0,0,0,0,0
,Embedded Wind,-,46,46,70,79,79,79,86,86,86,86,86,86
South-West Area Total,,,872,431,1400,1085,492,1508,1453,679,1840,1447,700,1973
Mid-West,Ardnacrusha,"AA1,2,3,4",0,0,86,20,0,86,20,0,86,20,0,86
,Booltiagh,BOL,7,7,7,7,7,7,7,7,7,7,7,7
,Derrybrien,DYN,21,21,21,21,21,21,21,21,21,21,21,21
,Moneypoint,MP1,287,151,287,287,145,287,287,135,287,287,141,287
,Moneypoint,MP3,287,151,287,287,145,287,287,135,287,282,141,287
,Tynagh,TY,333,0,404,380,0,404,379,0,404,379,0,404
,Embedded Wind,-,10,10,12,12,12,12,12,12,12,12,12,12
Mid-West Area Total,,,945,339,1105,1015,329,1105,1014,311,1105,1008,322,1105
South-East,Ballywater,BWW,11,11,11,11,11,11,11,11,11,11,11,11
,Great Island,GI1,0,0,51,0,0,48,0,0,51,0,0,51
,Great Island,GI2,0,0,51,0,0,48,0,0,51,0,0,51
,Great Island,GI3,0,0,94,0,0,94,0,0,94,0,0,94
,Liffey Hydro ,"LI1,2,4",0,0,34,5,0,34,5,0,34,5,0,34
,Embedded  Wind,-,27,27,27,27,27,27,34,34,34,34,34,34
South-East Area Total,,,38,38,269,43,38,263,50,45,276,50,45,276
Midlands,Edenderry Power ,ED1,121,121,121,121,121,121,121,121,121,121,121,121
,West Offaly Power,WO4,141,141,141,141,141,141,141,141,141,141,141,141
,Rhode PCP,RP1,0,0,0,0,0,0,0,0,0,0,0,0
,Rhode PCP,RP2,0,0,0,0,0,0,0,0,0,0,0,0
,Embedded  Wind,-,4,4,4,4,4,4,4,4,4,4,4,4
Midlands Area Total,,,267,267,267,267,267,267,267,267,267,267,267,267
North-West,Erne,"ER3,4",0,0,45,10,0,45,10,0,45,10,0,45
,Erne,"ER1,2",0,0,20,5,0,20,5,0,20,5,0,20
,Golagh,GOL,5,5,5,5,5,5,5,5,5,5,5,5
,Kingsmountain ,KGM,8,8,8,8,8,8,8,8,8,8,8,8
,Lough Ree    Power,LR4,94,94,94,94,94,94,94,94,94,94,94,94
,Meentycat,MCT,25,25,25,25,25,25,30,30,30,30,30,30
,Tawnaghmore PCP ,TP1,0,0,0,0,0,0,0,0,0,0,0,0
,Embedded  Wind,-,67,67,75,85,85,85,85,85,85,85,85,85
North-West Area Total,,,199,199,272,232,217,282,237,222,287,237,222,287
North-East,NI Import,-,0,0,-413,67,291,-369,-68,267,-246,-129,-55,-325
,Mountain   Lodge,MLW,0,0,0,9,9,9,9,9,9,9,9,9
,Ratrussan,RRW,25,25,25,25,25,25,25,25,25,25,25,25
,Embedded  Wind,-,11,11,11,11,11,11,11,11,11,11,11,11
North-East Area Total,,,35,35,-378,111,335,-325,-24,311,-202,-85,-11,-281
East-West Interconnector Import,,,-,-,-,-,-,-,-,-,-,500,500,500
Total,,,4004,1800,4998,4142,1868,5192,4474,2017,5612,4930,2222,6187
