"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
AUCH20,MAHI20,14.5,0,OHL,0.112,0.809,3.028,690,655,600,655
AUCW10,HADH10,18,0,OHL,1.83,3.88,0.96,140,140,140,140
AUCW10,MAYB10,0,0,CIRCUIT,0,0.001,0,140,140,140,140
BAGA1Q,BONN10,18.4,0,OHL,0.791,3.901,0.994,183,183,183,183
BAGA1Q,DRCR1Q,4.71,3.79,COMPOSITE,0.556,1.429,10.5,183,160,149,160
BAGA1R,BONN10,17.99,0,OHL,1.184,3.906,0.95,183,183,183,183
BAGA1R,DRCR1R,4.71,3.79,COMPOSITE,0.556,1.429,10.5,183,160,149,160
BAIN10,BONN10,7.28,0,OHL,0.307,1.508,1.304,114,114,114,114
BAIN10,BONN10,7.08,0,OHL,0.303,1.491,0.644,114,114,114,114
BERW1Q,ECCL10,21.9,0,OHL,2.183,4.862,1.635,132,123,106,123
BERW1Q,ECCL10,21.9,0,OHL,2.183,4.862,1.635,132,123,106,123
BERW1R,ECCL10,21.84,0,OHL,2.182,4.86,1.543,132,123,106,123
BLLA10,WISH10,11.53,0,OHL,0.7,1.917,6.235,705,675,615,675
BRAE10,GOVA1Q,0,3.5,CABLE,0.152,0.239,6.934,125,113,110,113
BRAE10,PAIS1Q,4.52,0,OHL,0.092,0.746,1.162,274,274,274,274
BRAE1G,BRAP10,2.5,0,OHL,0.057,0.466,0.726,274,274,274,274
BRAE1G,GOVA1R,0,3.5,CABLE,0.152,0.239,6.934,125,113,110,113
BRAP10,ERSK1Q,4.97,4.58,COMPOSITE,0.677,1.419,14.361,121,110,106,110
BRAP10,ERSK1R,3.39,6.42,COMPOSITE,0.762,1.46,7.938,102,79,79,79
BROX1Q,CURR10,10.61,0,OHL,1.072,2.387,0.541,132,123,106,123
BROX1R,CURR10,10.61,0,OHL,1.072,2.387,0.541,132,123,106,123
BUSB20,GIFF2R,0,4.57,CABLE,0.024,0.064,34.5,275,240,240,240
BUSB20,NEIL20,20,0,OHL,0.1,0.82,5.56,1090,1030,925,1030
BUSB20,STHA20,15.65,0,OHL,0.078,0.642,4.351,750,690,630,690
CAFA1Q,KEOO10,2.56,0,OHL,0.258,0.584,0.126,132,123,106,123
CATY1Q,DALM10,2.7,0,OHL,0.272,0.607,0.137,119,106,92,106
CATY1R,DALM10,2.7,0,OHL,0.272,0.607,0.137,119,106,92,106
CHAP10,DUMF10,26.88,0,OHL,1.156,5.698,1.451,171,171,171,171
CHAP10,DUMF10,27.05,0,OHL,1.159,5.712,2.014,171,171,171,171
CHAP10,ECCF11,6.75,0,OHL,0.671,1.486,0.601,72,72,72,72
CHAP10,ECCF12,0,0,CIRCUIT,0.675,1.49,0.721,72,72,72,72
CHAP10,GRNA10,13,0,OHL,1.313,2.925,0.663,132,123,106,123
CHAP10,GRNA10,13,0,OHL,1.313,2.925,0.663,132,123,106,123
CHAS2Q,DALM2Q,0,4,CABLE,0.049,0.065,20.456,186,186,186,186
CHAS2R,DALM2R,0,4,CABLE,0.049,0.065,20.456,186,186,186,186
CLYM20,DALM2Q,4.48,0,OHL,0.022,0.184,1.245,750,690,630,690
CLYM20,DALM2R,4.57,0,OHL,0.023,0.186,1.916,695,560,500,560
CLYM20,EERH20,9.08,0,OHL,0.024,0.321,2.887,1500,1500,1500,1500
CLYM20,EKIL2Q,5.21,0,OHL,0.026,0.219,1.386,1120,1060,990,1060
CLYM20,EKIL2R,5.21,0,OHL,0.026,0.219,1.386,1120,1060,990,1060
CLYM20,LOAN20,54.76,0,OHL,0.137,1.917,17.578,1500,1500,1500,1500
COAL40,STHA40,21.92,0,OHL,0.038,0.416,13.124,2010,1910,1750,1910
COAT2Q,NEAR2Q,3.6,4.9,COMPOSITE,0.047,0.26,16.299,120,120,120,120
COAT2R,NEAR2R,3.6,4.9,COMPOSITE,0.047,0.26,16.299,120,120,120,120
COCK20,KAIM20,18.03,0,OHL,0.092,0.756,5.119,1090,1030,925,1030
COCK20,SMEA20,9.26,0,OHL,0.048,0.396,2.683,1090,1030,925,1030
COCK4Q,ECCL40,65.9,0,OHL,0.156,1.313,36.4,1090,1030,925,1030
COCK4R,ECCL40,65.9,0,OHL,0.156,1.313,36.4,1090,1030,925,1030
COYL20,COYW2S,1.5,0,OHL,0.008,0.062,0.417,660,595,595,595
COYL20,COYW2T,1.5,0,OHL,0.008,0.062,0.417,955,885,760,885
COYL20,MAHI20,49.5,0,OHL,0.381,2.762,10.335,690,655,600,655
COYT1T,MAYB10,17.98,0,OHL,1.82,4.072,0.912,132,123,106,123
COYW2S,KILS20,13.67,0,OHL,0.068,0.561,3.8,955,885,760,885
COYW2T,KILS20,13.67,0,OHL,0.068,0.561,3.8,955,885,760,885
CROO1Q,NEIL10,12.65,0,OHL,0.544,2.682,0.683,229,211,183,211
CROO1R,NEIL10,12.65,0,OHL,0.544,2.682,0.683,229,211,183,211
CRUA2Q,CRUA2S,0,0,CIRCUIT,0,0.326,0,230,230,230,230
CRUA2R,CRUA2T,0,0,CIRCUIT,0,0.435,0,230,230,230,230
CRUA2S,DALL20,8.1,0.4,COMPOSITE,0.04,0.36,4.14,283,283,283,283
CRUA2T,DALL20,8.1,0.4,COMPOSITE,0.04,0.36,4.14,283,283,283,283
CUPA1Q,LEVT1Q,13.24,0,OHL,1.337,2.979,0.675,150,142,128,142
CUPA1R,LEVT1R,13.24,0,OHL,1.337,2.979,0.675,150,142,128,142
CURR20,GRMO20,42.23,0,OHL,0.211,1.731,11.739,1090,1030,925,1030
CURR20,KAIM20,9.09,0,OHL,0.046,0.373,2.527,1090,1030,925,1030
CURR20,KINC20,55.33,0,OHL,0.277,2.269,15.382,1090,1030,925,1030
CURR20,SIGH2Q,1.52,1.52,COMPOSITE,0.017,0.084,10.273,305,250,250,250
CURR20,SIGH2R,1.52,1.52,COMPOSITE,0.017,0.084,10.273,305,250,250,250
CURR20,SMEA20,17.86,0,OHL,0.089,0.732,4.966,1090,1030,925,1030
DALL20,INVR20,22,0,OHL,0.115,0.983,6.072,760,665,620,665
DALL20,WIYH20,77,0,OHL,0.39,3.3,20.26,760,665,620,665
DEVM40,INKI40,15.83,0,OHL,0.019,0.269,10.764,1350,1350,1350,1350
DEVM40,WIYH4Q,28.65,0,OHL,0.055,0.524,17.916,1000,1000,990,1000
DEVO10,STIR1Q,10,0,OHL,0.382,2.131,0.542,238,219,191,219
DEVO10,WFIE1B,31.8,0,OHL,3.212,7.155,1.622,162,154,141,154
DEWP2Q,WHHO2R,0,2.4,CABLE,0.012,0.033,18.03,275,204,204,204
DEWP2R,WHHO2Q,0,2.4,CABLE,0.012,0.033,18.03,275,204,204,204
DRUM2Q,WIYH20,2.391,0.299,COMPOSITE,0.012,0.106,3.877,760,760,760,760
DRUM2R,WIYH20,2.4,0,OHL,0.012,0.098,0.667,955,885,760,885
DUMF10,TONG1Q,43.6,0,OHL,4.447,10.71,2.18,132,123,106,123
DUNB1Q,INWI1Q,7.938,3.44,COMPOSITE,0.919,1.97,7.885,110,100,90,100
DUNB1R,INWI1R,7.938,3.44,COMPOSITE,0.919,1.97,7.885,110,100,90,100
DUNF1Q,INKE1Q,7.73,0,OHL,0.776,1.726,0.574,132,122,106,122
DUNF1Q,MOSM10,11,0,OHL,0.579,2.408,0.58,226,217,198,217
DUNF1R,INKE1R,7.73,0,OHL,0.776,1.726,0.574,132,122,106,122
DUNF1R,MOSM10,11,0,OHL,0.579,2.408,0.58,226,217,198,217
EAST1Q,GLLE10,1.69,0,OHL,0.172,0.39,0.084,132,123,106,123
ECCL40,STWB4A,8.36,0,OHL,0.022,0.17,5.155,1390,1280,1110,1280
ECCL40,STWB4B,8.36,0,OHL,0.022,0.17,5.155,1390,1280,1110,1280
ECCL40,TORN40,34.281,2.199,COMPOSITE,0.05,0.653,64.361,1250,1110,1110,1110
EERH20,NEAR2Q,15.41,0,OHL,0.077,0.632,4.283,955,885,760,885
EKIL2Q,EKIL2S,6,0,OHL,0.035,0.3,1.374,865,825,750,825
EKIL2Q,STHA20,5.21,0,OHL,0.026,0.219,1.386,1050,965,880,965
EKIL2R,EKIL2T,6,0,OHL,0.035,0.3,1.374,480,405,405,405
EKIL2R,STHA20,5.21,0,OHL,0.026,0.219,1.386,1050,965,880,965
EKIS20,NEIL20,29.08,0,OHL,0.145,1.192,8.084,1090,1030,885,1030
EKIS20,STHA20,6.34,0,OHL,0.032,0.26,1.764,955,885,760,885
ELDE1Q,JOHN1Q,2.83,0,OHL,0.12,0.559,0.684,229,211,183,211
ELDE1Q,NEIL10,3.85,0,OHL,0.166,0.816,0.208,229,211,183,211
ELDE1R,JOHN1R,2.85,0,OHL,0.121,0.561,0.73,229,211,183,211
ELDE1R,NEIL10,3.85,0,OHL,0.166,0.816,0.208,229,211,183,211
ESST10,PART1Q,0,6.31,CABLE,0.211,0.376,15.2,84,76,68,76
ESST10,WIYH10,2.09,1.63,COMPOSITE,0.131,0.187,8.407,128,109,90,109
FIFE10,WFIE1A,0.9,0,OHL,0.031,0.498,1.935,130,100,100,100
FIFE1B,WFIE1B,0.9,0,OHL,0.031,0.498,1.935,130,100,100,100
GALA10,HAWI1B,23.55,0,OHL,1.211,2.684,7.57,132,123,106,123
GARE1S,WHTL1S,1.72,0,OHL,0.18,0.4,0.08,100,94,80,94
GARE1S,WIYH10,35.61,0,OHL,3.574,7.946,2.476,109,105,101,105
GARE1T,WHTL1T,1.67,0,OHL,0.17,0.4,0.08,100,94,80,94
GARE1T,WIYH10,35.51,0,OHL,3.596,7.94,2.306,109,105,101,105
GLLE10,KEOO10,7.39,0,OHL,0.746,1.655,0.376,132,123,106,123
GLLE10,NETS10,30.04,0,OHL,3.034,6.759,1.532,125,113,102,113
GLLE10,NETS10,30.04,0,OHL,3.034,6.759,1.532,125,113,102,113
GLLE10,TONG10,33.24,0,OHL,3.39,7.678,1.662,132,123,106,123
GLLU1Q,NETS10,22.05,0,OHL,2.227,4.961,1.125,132,123,106,123
GLLU1R,NETS10,21.65,0,OHL,2.186,4.849,1.082,132,123,106,123
GLNI10,MOSM10,1.409,0.201,COMPOSITE,0.074,0.243,0.716,270,270,255,270
GLNI10,MOSM10,1.475,0.105,COMPOSITE,0.078,0.328,0.647,130,125,110,125
GLNI10,REDH10,10.04,0,OHL,1.014,2.259,0.512,162,152,141,152
GLNI10,WFIE1B,7.11,0,OHL,0.718,1.6,0.363,132,123,106,123
GLNI10,WFIE1B,7.11,0,OHL,0.718,1.6,0.363,132,123,106,123
GLRO20,WFIE20,12.09,0,OHL,0.061,0.496,3.311,955,885,760,885
GORG1Q,TELR1Q,0,3.98,CABLE,0.395,0.271,6.4,80,75,70,75
GORG1R,TELR1R,0,3.98,CABLE,0.395,0.271,6.4,80,75,70,75
GOVA1Q,HAGR1Q,0,4.11,CABLE,0.24,0.275,6.2,91,85,78,85
GOVA1R,HAGR1R,0,4.11,CABLE,0.24,0.275,6.2,69,64,64,64
GRMO20,KINC20,14.42,0,OHL,0.072,0.591,4.01,1050,965,880,965
HELE10,WIYH10,25.44,0,OHL,2.545,5.65,2.089,109,105,101,105
HUER40,INKI40,61.871,0.199,COMPOSITE,0.103,1.129,42.603,1320,1070,1070,1070
HUER40,INKI40,62.07,0.2,COMPOSITE,0.098,1.114,42.731,1320,1070,1070,1070
HUER40,NEIL4Q,31.74,0,OHL,0.062,0.602,18.95,1350,1280,1110,1280
HUNF1Q,KILW1R,12.418,3.062,COMPOSITE,0.624,2.926,7.806,180,163,145,163
HUNF1R,SACO1R,8.576,3.054,COMPOSITE,0.459,2.11,7.598,180,163,145,163
INWI1Q,TORN10,0,1.1,CABLE,0.038,0.061,2.365,110,100,90,100
INWI1R,TORN10,0,1.1,CABLE,0.038,0.061,2.365,110,100,90,100
JUNA1T,KILW1Q,12.4,0,OHL,0.533,2.629,0.67,229,211,183,211
JUNA1T,SACO1Q,8.55,0,OHL,0.368,1.813,0.462,229,211,183,211
KAIM20,SMEA20,8.77,0,OHL,0.044,0.36,2.436,1090,1030,925,1030
KAIM20,WHHO2Q,1.43,4.9,COMPOSITE,0.032,0.136,37.171,275,204,204,204
KAIM20,WHHO2R,1.43,4.99,COMPOSITE,0.033,0.138,37.813,275,204,204,204
KEOO10,MAYT1T,34.23,0,OHL,3.457,7.702,1.746,132,123,106,123
KIER1Q,WIYH10,1.99,3.6,COMPOSITE,0.334,0.647,8.017,100,80,60,80
KILB1Q,WIYH10,0,3.38,CABLE,0.115,0.199,8.02,139,126,113,126
KILB1R,WIYH10,0,3.38,CABLE,0.115,0.199,8.02,139,126,113,126
KILS20,KILT2R,3.526,0.504,COMPOSITE,0.022,0.156,3.875,280,228,228,228
KILS40,STHA40,34.97,0,OHL,0.083,0.678,20.523,1390,1280,1110,1280
KILW1Q,MEAD10,14,0,OHL,0.736,3.039,0.743,207,173,138,173
KILW1R,MEAD10,14,0,OHL,0.736,3.039,0.743,207,173,138,173
KINC20,LOAN2Q,0,4.76,CABLE,0.022,0.189,6.115,760,690,620,690
KINC20,LOAN2R,0,4.62,CABLE,0.022,0.185,4.465,760,690,620,690
LAMB20,LAMB2T,0,0,CIRCUIT,0,0.01,0,1120,1060,990,1060
LAMB20,PORD2Q,3.95,0,OHL,0.02,0.162,1.097,955,885,760,885
LAMB20,PORD2R,3.95,0.17,COMPOSITE,0.021,0.164,2.199,300,300,300,300
LAMB20,WIYH20,17.99,0,OHL,0.09,0.738,5.002,955,885,760,885
LAMB2T,LOAN20,53.75,0,OHL,0.215,2.073,18.358,820,650,650,650
LAMB2T,WIYH20,17.99,0,OHL,0.09,0.738,5.002,950,885,760,885
LEVE1Q,LEVT1Q,2.16,0,OHL,0.218,0.486,0.11,150,142,128,142
LEVE1R,LEVT1R,2.26,0,OHL,0.223,0.496,0.25,150,142,128,142
LEVT1Q,REDH10,8.87,0,OHL,0.896,1.995,0.452,150,142,128,142
LEVT1R,WFIE1B,18.48,0,OHL,1.866,4.157,0.942,150,142,128,142
LOAN20,LOAN2Q,0,0,CIRCUIT,0.005,1.935,0,760,690,620,690
LOAN20,LOAN2R,0,0,CIRCUIT,0.005,1.935,0,760,690,620,690
LOAN20,MOSM20,26.39,0,OHL,0.132,1.078,9.002,760,620,620,620
LOAN20,WFIE20,29.35,0,OHL,0.146,1.2,9.431,720,620,620,620
MAYB10,MAYT1T,12.87,0,OHL,1.3,2.896,0.656,132,123,106,123
MOSH1Q,MOSM10,0,1.08,CABLE,0.048,0.063,2.012,132,123,106,123
MOSH1R,MOSM10,0,0.98,CABLE,0.044,0.057,1.826,132,123,106,123
MOSM20,MOSM2Q,5.3,0,OHL,0.027,0.217,1.447,955,880,760,880
MOSM2Q,MOSM2T,5.3,0,OHL,0.027,0.217,1.447,955,885,760,885
MOSM2T,WFIE20,3,0,OHL,0.015,0.123,0.819,955,885,760,885
NEAR2Q,WISH20,15.76,0,OHL,0.079,0.646,4.38,955,885,760,885
NEAR2R,WISH20,15.76,0,OHL,0.079,0.646,4.38,285,285,285,285
NEIL10,NEIL1C,0.2,0,OHL,0,0.01,0,334,300,265,300
NEIL20,NEIL2C,0,0.2,CABLE,0.001,0.003,1.492,1140,945,945,945
NEIL20,WIYH20,25.5,0,OHL,0.13,1.028,7.118,955,885,760,885
PAIS1Q,PAIS1S,2.16,0,OHL,0.047,0.38,0.138,460,425,365,425
PAIS1R,PAIS1T,2.16,0,OHL,0.047,0.38,0.138,460,425,365,425
POOB2Q,SHRU2Q,0,4.96,CABLE,0.032,0.103,30.572,270,270,270,270
POOB2Q,SMEA20,0,8.59,CABLE,0.044,0.34,6.693,360,300,240,300
POOB2R,SHRU2R,0,4.96,CABLE,0.032,0.103,30.572,270,270,270,270
POOB2R,SMEA20,0,8.59,CABLE,0.044,0.34,6.693,360,300,240,300
PORD2Q,WGEO2Q,0,2.15,CABLE,0.017,0.056,12.236,305,198,198,198
PORD2R,WGEO2R,0,1.88,CABLE,0.014,0.049,10.691,305,198,198,198
RAVE2Q,WISH20,0,3.93,CABLE,0.037,0.066,20.4,238,214,214,214
RAVE2R,WISH20,0,3.93,CABLE,0.037,0.066,20.4,238,214,214,214
REDH10,WFIE1A,9.61,0,OHL,0.971,2.162,0.49,162,152,141,152
SMEA4Q,STHA40,74.64,0,OHL,0.176,1.446,43.893,1390,1280,1110,1280
SMEA4Q,TORN40,54.07,2.1,COMPOSITE,0.077,0.998,78.212,1250,1110,1110,1110
SMEA4R,TORN40,54.07,2.1,COMPOSITE,0.077,0.997,77.106,1000,1000,1000,1000
STIR1Q,STIR1S,2.1,0,OHL,0.086,0.426,0.108,229,211,183,211
STIR1R,STIR1T,2.1,0,OHL,0.088,0.431,0.289,229,211,183,211
STIR1R,WFIE1A,41.8,0,OHL,3.594,9.286,2.164,162,154,141,154
STLE10,WIYH10,13.8,0,OHL,1.499,3.056,1.185,109,105,101,105
